"RIVER","MILE","SPECIES","LENGTH","WEIGHT","DDT"
"TRM",280,"SMBUFFALO",49,1763,4.5
"TRM",280,"SMBUFFALO",46,1459,4.2
"TRM",280,"SMBUFFALO",52,2302,3
"TRM",280,"SMBUFFALO",46,1614,2.3
"TRM",280,"SMBUFFALO",46,1444,2.5
"TRM",280,"SMBUFFALO",48,2006,6.8
"TRM",290,"SMBUFFALO",43.5,1291,3.4
"TRM",290,"SMBUFFALO",46.5,1186,13
"TRM",290,"SMBUFFALO",43,1293,5.6
"TRM",290,"SMBUFFALO",47,1709,12
"TRM",290,"SMBUFFALO",46,1425,21
"TRM",290,"SMBUFFALO",41,1176,8
"TRM",300,"SMBUFFALO",35.5,1300,1.3
"TRM",300,"SMBUFFALO",46,1365,4.8
"TRM",300,"SMBUFFALO",45,1437,5.1
"TRM",300,"SMBUFFALO",44.5,1460,5.1
"TRM",300,"SMBUFFALO",49,1671,4
"TRM",300,"SMBUFFALO",47.5,1717,10
"TRM",310,"SMBUFFALO",46,1486,1.4
"TRM",310,"SMBUFFALO",47,1743,6.1
"TRM",310,"SMBUFFALO",48.5,2061,2.8
"TRM",310,"SMBUFFALO",48,1707,4.8
"TRM",310,"SMBUFFALO",38,862,5.7
"TRM",310,"SMBUFFALO",38.5,911,3.3
"TRM",320,"SMBUFFALO",36,1285,12
"TRM",320,"SMBUFFALO",34.5,1178,33
"TRM",320,"SMBUFFALO",44.5,1492,48
"TRM",320,"SMBUFFALO",46,1524,10
"TRM",320,"SMBUFFALO",46,1473,44
"TRM",320,"SMBUFFALO",32.5,520,0.43
"TRM",330,"SMBUFFALO",33.5,599,0.3
"TRM",330,"SMBUFFALO",47,1704,1.2
"TRM",340,"SMBUFFALO",32.5,525,0.99
"TRM",340,"SMBUFFALO",38,806,0.45
"TRM",340,"SMBUFFALO",38.5,694,2.5
"TRM",340,"SMBUFFALO",36,643,0.25
